Feedback_ID,Feedback_Text
ZMF04853,The delivery partner was very impressive. Great service!
ZMF00825,Amazing discounts and very quick delivery. Highly recommended.
ZMF03458,Food from Noodle Kingdom arrived earlier than expected and was delicious!
ZMF04565,Food from Noodle Kingdom arrived earlier than expected and was quick!
ZMF06296,One of the items was missing from my order. My entire meal was ruined.
ZMF07400,The delivery partner was very rude. This is not the service I expect from Zomato.
ZMF03515,Consistently good experience with Zomato. Reliable and fast.
ZMF08008,"The app showed the restaurant was open, but they cancelled my order after 30 minutes. Wasted my time."
ZMF02496,"My order was perfectly packed, no spills at all. The food was neat and secure too."
ZMF08797,The delivery partner was very rude. This is not the service I expect from Zomato.
ZMF09974,The curry was completely spilled in the bag. Terrible packaging.
ZMF03969,Amazing discounts and very quick delivery. Highly recommended.
ZMF00645,Food from Pizza Bay arrived earlier than expected and was polite and professional!
ZMF04863,I love the the app's user interface. It makes ordering food so convenient and enjoyable.
ZMF03079,The delivery partner was very excellent. Great service!
ZMF06025,My order was more than 40 minutes late and the food was cold.
ZMF02447,I love the the wide variety of restaurants. It makes ordering food so convenient and enjoyable.
ZMF09850,My order was more than an hour late and the food was soggy.
ZMF03018,The delivery partner was very quick. Great service!
ZMF04124,Amazing discounts and very quick delivery. Highly recommended.
ZMF01099,I love the the app's user interface. It makes ordering food so convenient and enjoyable.
ZMF09949,The soup was completely spilled in the bag. Terrible packaging.
ZMF09249,I am tired of the the app crashing during payment. My entire meal was ruined.
ZMF07476,The curry was completely spilled in the bag. Terrible packaging.
ZMF05011,My order was more than an hour late and the food was cold.
ZMF06281,My order was more than an hour late and the food was cold.
ZMF05437,The soup was completely spilled in the bag. Terrible packaging.
ZMF09464,Received a completely wrong item from The Curry House. Customer support is not helping.
ZMF02383,"My order was perfectly packed, no spills at all. The food was polite and professional too."
ZMF06704,"The app showed the restaurant was open, but they cancelled my order after 30 minutes. Wasted my time."
ZMF09357,The soup was completely spilled in the bag. Terrible packaging.
ZMF03030,"The The packaging was simply excellent. Keep it up, Zomato."
ZMF04707,Food from Pizza Bay arrived earlier than expected and was delicious!
ZMF03967,"The The delivery speed was simply excellent. Keep it up, Zomato."
ZMF08386,I am tired of the cold food. This is completely unacceptable.
ZMF03414,Food from Grill & Chill arrived super fast and was quick!
ZMF05811,One of the items was missing from my order. It was a very frustrating experience.
ZMF02666,Amazing discounts and very quick delivery. Highly recommended.
ZMF02015,I love the the zomato gold benefits. It makes ordering food so convenient and enjoyable.
ZMF00880,I love the the wide variety of restaurants. It makes ordering food so convenient and enjoyable.
ZMF08336,One of the items was missing from my order. My entire meal was ruined.
ZMF01413,I love the the zomato gold benefits. It makes ordering food so convenient and enjoyable.
ZMF09237,Received a completely wrong item from Grill & Chill. Customer support is not helping.
ZMF05628,I am tired of the a wrong item being delivered. I had to wait for more than an hour.
ZMF08367,Received a completely wrong item from Grill & Chill. Customer support is not helping.
ZMF08009,Received a completely wrong item from Biryani Central. Customer support is not helping.
ZMF01392,I love the the food quality. It makes ordering food so convenient and enjoyable.
ZMF06422,The curry was completely spilled in the bag. Terrible packaging.
ZMF06400,I am tired of the the app crashing during payment. I had to wait for more than an hour.
ZMF08217,I am tired of the cold food. It was a very frustrating experience.
ZMF07502,The curry was completely spilled in the bag. Terrible packaging.
ZMF04748,Amazing discounts and very quick delivery. Highly recommended.
ZMF09603,Received a completely wrong item from Biryani Central. Customer support is not helping.
ZMF06613,My order was more than 40 minutes late and the food was soggy.
ZMF06676,My order was more than an hour late and the food was soggy.
ZMF09484,My order was more than 40 minutes late and the food was soggy.
ZMF04531,Food from The Curry House arrived earlier than expected and was polite and professional!
ZMF06814,Received a completely wrong item from The Curry House. Customer support is not helping.
ZMF07057,The delivery partner was very rude. This is not the service I expect from Zomato.
ZMF01180,"My order was perfectly packed, no spills at all. The food was neat and secure too."
ZMF00996,Amazing discounts and very quick delivery. Highly recommended.
ZMF05159,I am tired of the spilled food due to poor packaging. I want a full refund for this order.
ZMF03184,"My order was perfectly packed, no spills at all. The food was neat and secure too."
ZMF03160,"The The Zomato Gold benefits was simply excellent. Keep it up, Zomato."
ZMF09467,Received a completely wrong item from Noodle Kingdom. Customer support is not helping.
ZMF03222,The delivery partner was very quick. Great service!
ZMF05757,Received a completely wrong item from Biryani Central. Customer support is not helping.
ZMF01981,Consistently good experience with Zomato. Reliable and fast.
ZMF05205,The curry was completely spilled in the bag. Terrible packaging.
ZMF01406,"My order was perfectly packed, no spills at all. The food was polite and professional too."
ZMF09352,The soup was completely spilled in the bag. Terrible packaging.
ZMF02985,Food from The Curry House arrived super fast and was user-friendly!
ZMF09448,Received a completely wrong item from Grill & Chill. Customer support is not helping.
ZMF04234,"My order was perfectly packed, no spills at all. The food was polite and professional too."
ZMF09696,The curry was completely spilled in the bag. Terrible packaging.
ZMF04213,Amazing discounts and very quick delivery. Highly recommended.
ZMF06096,One of the items was missing from my order. I had to wait for more than an hour.
ZMF09576,The delivery partner was very rude. This is not the service I expect from Zomato.
ZMF07649,The delivery partner was very rude. This is not the service I expect from Zomato.
ZMF06430,One of the items was missing from my order. I want a full refund for this order.
ZMF03776,The delivery partner was very neat and secure. Great service!
ZMF09373,The soup was completely spilled in the bag. Terrible packaging.
ZMF08496,"The app showed the restaurant was open, but they cancelled my order after 30 minutes. Wasted my time."
ZMF02369,"The The app's user interface was simply excellent. Keep it up, Zomato."
ZMF00532,Food from Noodle Kingdom arrived earlier than expected and was impressive!
ZMF02347,"My order was perfectly packed, no spills at all. The food was polite and professional too."
ZMF01086,Consistently good experience with Zomato. Reliable and fast.
ZMF07394,The soup was completely spilled in the bag. Terrible packaging.
ZMF06351,Received a completely wrong item from The Curry House. Customer support is not helping.
ZMF02255,I love the the app's user interface. It makes ordering food so convenient and enjoyable.
ZMF04679,Consistently good experience with Zomato. Reliable and fast.
ZMF05009,One of the items was missing from my order. I want a full refund for this order.
ZMF00785,"The The wide variety of restaurants was simply excellent. Keep it up, Zomato."
ZMF04608,"My order was perfectly packed, no spills at all. The food was quick too."
ZMF05013,Received a completely wrong item from Noodle Kingdom. Customer support is not helping.
ZMF00305,"The The wide variety of restaurants was simply excellent. Keep it up, Zomato."
ZMF05971,My order was more than 40 minutes late and the food was soggy.
ZMF04142,"The The delivery speed was simply excellent. Keep it up, Zomato."
ZMF06110,The curry was completely spilled in the bag. Terrible packaging.
ZMF00107,"The The delivery speed was simply excellent. Keep it up, Zomato."
ZMF00076,I love the the wide variety of restaurants. It makes ordering food so convenient and enjoyable.
ZMF03406,Amazing discounts and very quick delivery. Highly recommended.
ZMF06494,One of the items was missing from my order. This is completely unacceptable.
ZMF08856,The curry was completely spilled in the bag. Terrible packaging.
ZMF00630,I love the the customer support. It makes ordering food so convenient and enjoyable.
ZMF06563,One of the items was missing from my order. I want a full refund for this order.
ZMF04238,Amazing discounts and very quick delivery. Highly recommended.
ZMF00608,"My order was perfectly packed, no spills at all. The food was excellent too."
ZMF07324,I am tired of the spilled food due to poor packaging. It was a very frustrating experience.
ZMF01387,I love the the food quality. It makes ordering food so convenient and enjoyable.
ZMF03023,I love the the zomato gold benefits. It makes ordering food so convenient and enjoyable.
ZMF06421,My order was more than 40 minutes late and the food was cold.
ZMF00861,I love the the app's user interface. It makes ordering food so convenient and enjoyable.
ZMF00772,Consistently good experience with Zomato. Reliable and fast.
ZMF09234,I am tired of the an item missing from my order. This is completely unacceptable.
ZMF08214,I am tired of the a wrong item being delivered. I want a full refund for this order.
ZMF03631,I love the the app's user interface. It makes ordering food so convenient and enjoyable.
ZMF08804,The curry was completely spilled in the bag. Terrible packaging.
ZMF01299,"The The wide variety of restaurants was simply excellent. Keep it up, Zomato."
ZMF02553,"The The food quality was simply excellent. Keep it up, Zomato."
ZMF07660,I am tired of the a rude delivery partner. My entire meal was ruined.
ZMF03050,Consistently good experience with Zomato. Reliable and fast.
ZMF02928,The delivery partner was very user-friendly. Great service!
ZMF04419,"The The customer support was simply excellent. Keep it up, Zomato."
ZMF06551,I am tired of the the restaurant canceling my order after a long wait. This is completely unacceptable.
ZMF05596,The curry was completely spilled in the bag. Terrible packaging.
ZMF00161,Amazing discounts and very quick delivery. Highly recommended.
ZMF02416,"My order was perfectly packed, no spills at all. The food was delicious too."
ZMF09917,The delivery partner was very rude. This is not the service I expect from Zomato.
ZMF01759,The delivery partner was very user-friendly. Great service!
ZMF06345,The delivery partner was very rude. This is not the service I expect from Zomato.
ZMF06384,Received a completely wrong item from Biryani Central. Customer support is not helping.
ZMF02966,"The The app's user interface was simply excellent. Keep it up, Zomato."
ZMF05353,The soup was completely spilled in the bag. Terrible packaging.
ZMF09129,I am tired of the the app crashing during payment. I want a full refund for this order.
ZMF02842,"The The wide variety of restaurants was simply excellent. Keep it up, Zomato."
ZMF00881,The delivery partner was very neat and secure. Great service!
ZMF04276,Amazing discounts and very quick delivery. Highly recommended.
